reverse_times,reverse_dates,forward_times
252,2014-06-07,113
253,2014-06-06,112
254,2014-06-05,111
255,2014-06-04,110
256,2014-06-03,109
257,2014-06-02,108
258,2014-06-01,107
259,2014-05-31,106
260,2014-05-30,105
261,2014-05-29,104
262,2014-05-28,103
263,2014-05-27,102
264,2014-05-26,101
265,2014-05-25,100
266,2014-05-24,99
267,2014-05-23,98
268,2014-05-22,97
269,2014-05-21,96
270,2014-05-20,95
271,2014-05-19,94
272,2014-05-18,93
273,2014-05-17,92
274,2014-05-16,91
275,2014-05-15,90
276,2014-05-14,89
277,2014-05-13,88
278,2014-05-12,87
279,2014-05-11,86
280,2014-05-10,85
281,2014-05-09,84
282,2014-05-08,83
283,2014-05-07,82
284,2014-05-06,81
285,2014-05-05,80
286,2014-05-04,79
287,2014-05-03,78
288,2014-05-02,77
289,2014-05-01,76
290,2014-04-30,75
291,2014-04-29,74
292,2014-04-28,73
293,2014-04-27,72
294,2014-04-26,71
295,2014-04-25,70
296,2014-04-24,69
297,2014-04-23,68
298,2014-04-22,67
299,2014-04-21,66
300,2014-04-20,65
301,2014-04-19,64
302,2014-04-18,63
303,2014-04-17,62
304,2014-04-16,61
305,2014-04-15,60
306,2014-04-14,59
307,2014-04-13,58
308,2014-04-12,57
309,2014-04-11,56
310,2014-04-10,55
311,2014-04-09,54
312,2014-04-08,53
313,2014-04-07,52
314,2014-04-06,51
315,2014-04-05,50
316,2014-04-04,49
317,2014-04-03,48
318,2014-04-02,47
319,2014-04-01,46
320,2014-03-31,45
321,2014-03-30,44
322,2014-03-29,43
323,2014-03-28,42
324,2014-03-27,41
325,2014-03-26,40
326,2014-03-25,39
327,2014-03-24,38
328,2014-03-23,37
329,2014-03-22,36
330,2014-03-21,35
331,2014-03-20,34
332,2014-03-19,33
333,2014-03-18,32
334,2014-03-17,31
335,2014-03-16,30
336,2014-03-15,29
337,2014-03-14,28
338,2014-03-13,27
339,2014-03-12,26
340,2014-03-11,25
341,2014-03-10,24
342,2014-03-09,23
343,2014-03-08,22
344,2014-03-07,21
345,2014-03-06,20
346,2014-03-05,19
347,2014-03-04,18
