iteration,coal_time1,coal_time2,coal_time3,coal_time4,diff1,diff2,diff3,diff4
1.0,5.963867301848667,16.270399472693665,20.379144457534533,24.121960997408525,5.963867301848667,10.306532170844998,4.108744984840868,3.742816539873992
2.0,16.961523269419736,18.165911467362463,22.16790339422749,28.41687295968435,16.961523269419736,1.204388197942727,4.001991926865028,6.248969565456861
3.0,18.347176816175136,19.21246902478553,25.25355074221048,27.385849947632,18.347176816175136,0.8652922086103949,6.041081717424948,2.1322992054215213
4.0,14.482472013649462,22.537593940689437,24.633602481277748,26.923252328059572,14.482472013649462,8.055121927039975,2.0960085405883113,2.289649846781824
5.0,13.527307659049184,17.27203906983266,19.56159546487922,27.541573370713,13.527307659049184,3.7447314107834746,2.28955639504656,7.979977905833781
6.0,19.532967356746827,22.49198269380717,23.459801068664706,26.350748875505595,19.532967356746827,2.959015337060343,0.9678183748575364,2.890947806840888
7.0,16.069390662100762,20.67038389250319,21.333796303454857,26.17523119310294,16.069390662100762,4.600993230402427,0.6634124109516684,4.8414348896480845
8.0,17.930813393613906,20.86997200147508,24.915870953920646,25.170245758984837,17.930813393613906,2.9391586078611738,4.045898952445565,0.25437480506419163
9.0,13.826214851153676,15.914397511064942,20.755518388481626,28.564376393638366,13.826214851153676,2.0881826599112667,4.841120877416683,7.80885800515674
10.0,19.786043880954445,21.863572091898206,22.290683378721035,28.921406310541407,19.786043880954445,2.077528210943761,0.4271112868228286,6.630722931820372
11.0,19.432805262716798,20.051287362022904,27.000101341241024,27.05637174076571,19.432805262716798,0.6184820993061066,6.948813979218119,0.05627039952468493
12.0,20.4602981278871,22.267550913595727,23.304600334783824,25.160558466069617,20.4602981278871,1.8072527857086271,1.0370494211880974,1.8559581312857922
13.0,14.788118268093523,21.724544268605282,22.531434922053343,23.936116801201578,14.788118268093523,6.936426000511759,0.8068906534480611,1.4046818791482352
14.0,12.043625757631634,19.275850208872736,22.701799068723542,27.68210639662514,12.043625757631634,7.232224451241102,3.4259488598508057,4.980307327901599
15.0,20.44603792732073,22.813117746473083,24.181424609178762,29.110512804710403,20.44603792732073,2.3670798191523517,1.3683068627056798,4.929088195531641
16.0,4.880732487196582,5.898445397294683,23.663403001180864,27.791307369934973,4.880732487196582,1.0177129100981013,17.76495760388618,4.127904368754109
17.0,11.382710595169005,17.265090445509347,23.424619107725142,27.665645335218645,11.382710595169005,5.882379850340342,6.159528662215795,4.241026227493503
18.0,3.219774868144498,11.476780398031405,17.45442635056945,20.971691081887844,3.219774868144498,8.257005529886907,5.977645952538044,3.517264731318395
19.0,8.675020841340995,14.500220328175308,19.124034750443993,25.33387929034866,8.675020841340995,5.825199486834313,4.623814422268685,6.209844539904665
20.0,13.832323775867293,14.764593088579474,18.815011593220042,25.939858949658856,13.832323775867293,0.9322693127121813,4.050418504640568,7.1248473564388135
21.0,3.3830335403292517,12.287626589256671,22.50042866595304,27.055736950276895,3.3830335403292517,8.90459304892742,10.21280207669637,4.5553082843238535
22.0,15.473339878879552,19.393145803876287,26.136076283021094,28.913186631206155,15.473339878879552,3.9198059249967354,6.742930479144807,2.7771103481850616
23.0,11.55726566302492,16.428083962718897,16.488806834900764,22.732642905499908,11.55726566302492,4.870818299693978,0.06072287218186645,6.243836070599144
24.0,7.303848223110032,18.145441117930435,24.13021344353093,24.405637922506692,7.303848223110032,10.841592894820403,5.984772325600495,0.2754244789757614
25.0,13.102857461689174,18.218594874621708,23.187416801946963,25.94477404190628,13.102857461689174,5.115737412932534,4.968821927325255,2.7573572399593154
26.0,9.382012181329804,19.68393796727037,20.13887460282284,21.486053525463976,9.382012181329804,10.301925785940567,0.45493663555246755,1.3471789226411381
27.0,6.557827476655272,17.917168055151976,23.088226382981045,28.76872457429593,6.557827476655272,11.359340578496703,5.171058327829069,5.680498191314886
28.0,2.8854398951388864,17.030848778960724,21.86693377416953,27.03357550154326,2.8854398951388864,14.145408883821837,4.836084995208807,5.1666417273737295
29.0,18.640188583604175,21.39821852751652,25.78425972989212,26.32875448438285,18.640188583604175,2.7580299439123444,4.386041202375601,0.5444947544907279
30.0,10.11826518128034,12.896103152044327,15.65618302915386,20.120414320456245,10.11826518128034,2.777837970763988,2.7600798771095327,4.464231291302385
31.0,13.517838887711001,14.670083779644997,22.791315504212953,23.418982772367002,13.517838887711001,1.1522448919339965,8.121231724567956,0.6276672681540489
32.0,11.610918779207445,18.04035621032981,20.7828810965011,28.929650201373857,11.610918779207445,6.429437431122366,2.7425248861712888,8.146769104872757
33.0,18.80570199613199,19.954492453096943,23.927824894814936,25.975295387829384,18.80570199613199,1.148790456964953,3.973332441717993,2.0474704930144476
34.0,6.060788288302084,14.457617816367133,24.46713749242372,26.136030188826044,6.060788288302084,8.396829528065048,10.009519676056588,1.6688926964023238
35.0,4.315693620036322,16.18040026105171,17.521698516077812,28.16063166725258,4.315693620036322,11.864706641015387,1.3412982550261034,10.638933151174768
36.0,19.202424744944175,21.32506713055324,22.235690869576903,25.9559994475522,19.202424744944175,2.1226423856090655,0.9106237390236629,3.7203085779752953
37.0,7.198898794458524,22.01933684345314,22.048331365503994,26.692690799033546,7.198898794458524,14.820438048994616,0.028994522050854954,4.6443594335295515
38.0,3.9028242058063665,15.822235330726263,17.014577537764435,20.668805695510503,3.9028242058063665,11.919411124919897,1.1923422070381715,3.6542281577460685
39.0,7.651754189787248,8.095468286381173,16.28044385281453,24.326130418015367,7.651754189787248,0.4437140965939257,8.184975566433355,8.045686565200839
40.0,20.12825996667637,22.257141780543748,24.232192782020462,24.37823208843666,20.12825996667637,2.128881813867377,1.9750510014767144,0.1460393064161991
41.0,2.4360353293996333,10.260014283301869,18.280574715910678,28.374301576434746,2.4360353293996333,7.823978953902236,8.020560432608809,10.093726860524068
42.0,7.875799890483766,13.351666849678885,25.195272868162156,27.702619693690846,7.875799890483766,5.47586695919512,11.843606018483271,2.507346825528689
43.0,17.881472347227984,18.6552104787973,24.647053581987965,24.774231593617213,17.881472347227984,0.773738131569317,5.991843103190664,0.12717801162924758
44.0,10.556596823179792,22.332573108811417,24.933722962071037,27.8651082005131,10.556596823179792,11.775976285631625,2.6011498532596207,2.9313852384420613
45.0,13.598514486238292,13.914953030630432,22.933800195517975,27.739520680720588,13.598514486238292,0.31643854439214003,9.018847164887543,4.805720485202613
46.0,6.7691797542959735,8.99630908471018,14.722694631289839,18.54748934702538,6.7691797542959735,2.227129330414207,5.7263855465796585,3.824794715735541
47.0,1.7551111616165789,2.3349973949064515,16.9203078158594,24.33898280170083,1.7551111616165789,0.5798862332898727,14.585310420952947,7.418674985841431
48.0,16.069953685403135,18.966631623753695,24.344969137111875,24.60724292401002,16.069953685403135,2.8966779383505603,5.378337513358179,0.2622737868981453
49.0,1.3958826622784275,21.056399623766627,23.52610528451958,23.772385440186152,1.3958826622784275,19.6605169614882,2.469705660752954,0.2462801556665717
50.0,17.54544171319196,20.59698002633234,22.495821208187646,28.10751889253045,17.54544171319196,3.05153831314038,1.8988411818553068,5.611697684342804
51.0,6.983554306883124,10.055123610630432,13.943771271811704,25.25461191719275,6.983554306883124,3.0715693037473075,3.888647661181272,11.310840645381047
52.0,3.4895292884618585,6.832405094304236,16.319753238787893,21.492839059751418,3.4895292884618585,3.3428758058423775,9.487348144483658,5.173085820963525
53.0,7.096644971761245,17.401729033082255,17.81378310832509,23.353169831384207,7.096644971761245,10.30508406132101,0.41205407524283544,5.539386723059117
54.0,1.435698959146951,14.77913544145067,19.899113290651666,23.67016072510207,1.435698959146951,13.34343648230372,5.119977849200996,3.771047434450402
55.0,8.196194316884627,14.218990134922157,17.97621856292799,24.850779883648276,8.196194316884627,6.02279581803753,3.757228428005833,6.874561320720286
56.0,15.413598270386835,17.447170105285515,17.73085016244888,30.38634787098455,15.413598270386835,2.03357183489868,0.283680057163366,12.65549770853567
57.0,7.520014755968832,15.41897734519458,20.16659951117474,24.826814170909675,7.520014755968832,7.898962589225748,4.747622165980161,4.660214659734933
58.0,21.994948978708784,22.764925352941788,25.076673529984056,26.290732661243002,21.994948978708784,0.7699763742330035,2.3117481770422685,1.2140591312589457
59.0,13.957094361285701,18.074564939709976,22.822282959357516,22.855816195966128,13.957094361285701,4.117470578424275,4.7477180196475395,0.03353323660861207
60.0,14.52587879787231,20.413652535021104,21.531868891182892,25.35593539768124,14.52587879787231,5.887773737148795,1.1182163561617884,3.8240665064983475
61.0,5.8799061467114315,11.858543237296377,23.679657331297282,25.598288209428002,5.8799061467114315,5.978637090584946,11.821114094000905,1.9186308781307204
62.0,9.877024926017572,13.933520890610763,21.10345053552341,25.03022038833183,9.877024926017572,4.056495964593191,7.1699296449126475,3.9267698528084196
63.0,14.8458941897409,20.489232292834306,23.30085361041884,28.67543217417672,14.8458941897409,5.643338103093406,2.8116213175845353,5.374578563757879
64.0,1.108189100595049,15.039656790892028,18.84905763519565,26.48143020320695,1.108189100595049,13.93146769029698,3.809400844303621,7.632372568011302
65.0,2.569194184126138,12.101148127765638,18.530748977624672,23.415142598693407,2.569194184126138,9.5319539436395,6.429600849859034,4.884393621068735
66.0,20.49837439392199,22.852244328207284,24.021805330015667,24.615668016257917,20.49837439392199,2.353869934285296,1.1695610018083826,0.5938626862422502
67.0,9.668525874758759,15.220008033794292,16.863098589437016,24.16471866692735,9.668525874758759,5.551482159035533,1.6430905556427238,7.301620077490334
68.0,13.704499194075982,20.103222321884235,25.183193105253224,25.752344082975615,13.704499194075982,6.398723127808253,5.079970783368989,0.5691509777223906
69.0,15.200303650062567,17.78588406241931,23.10390648217976,27.183799054734784,15.200303650062567,2.5855804123567427,5.3180224197604495,4.079892572555025
70.0,17.33720249591679,19.576253570480777,19.93972312068556,23.765124931777436,17.33720249591679,2.239051074563985,0.36346955020478333,3.8254018110918757
71.0,18.388422564144232,23.242776456586572,23.403693625969588,24.462935489314074,18.388422564144232,4.85435389244234,0.1609171693830156,1.0592418633444858
72.0,6.0241575482483185,14.079454437606824,23.69062157056548,28.55380618991303,6.0241575482483185,8.055296889358505,9.611167132958656,4.86318461934755
73.0,4.645958220072681,19.89050823256248,25.79977564298112,27.9930198520093,4.645958220072681,15.244550012489796,5.909267410418643,2.1932442090281796
74.0,15.871283583809221,19.942046058335134,20.779402069883577,22.010710494820717,15.871283583809221,4.070762474525912,0.8373560115484437,1.23130842493714
75.0,9.423802328798676,15.341012302550354,21.836404216698565,28.94692749580997,9.423802328798676,5.917209973751678,6.495391914148211,7.110523279111405
76.0,8.111055363999201,14.034437049673036,21.084761826633123,25.854854381983927,8.111055363999201,5.923381685673835,7.050324776960087,4.770092555350804
77.0,8.785342307238425,18.43779018123163,25.012093274094227,26.997314528239954,8.785342307238425,9.652447873993205,6.574303092862596,1.9852212541457277
78.0,11.130119946996128,14.397165459361645,19.09152555154712,28.027259539515306,11.130119946996128,3.2670455123655167,4.694360092185477,8.935733987968185
79.0,14.562355150707644,19.772112988261245,20.111116576817153,23.824928236738227,14.562355150707644,5.209757837553601,0.33900358855590795,3.713811659921074
80.0,20.237405062107758,22.92361148401386,24.597821284864825,28.87852527349981,20.237405062107758,2.6862064219061033,1.6742098008509636,4.280703988634986
81.0,12.172673407428865,13.583492592084255,20.303676268679123,26.699441121337674,12.172673407428865,1.4108191846553897,6.720183676594868,6.3957648526585515
82.0,12.923213700339158,15.405568110516898,20.769065580796266,23.526637070680763,12.923213700339158,2.4823544101777397,5.363497470279368,2.757571489884498
83.0,10.78312768238364,16.775350131735827,21.562434840050575,28.091904328262697,10.78312768238364,5.992222449352187,4.787084708314747,6.529469488212122
84.0,13.847580408023598,20.66565419486993,23.86796616137885,27.035978251617887,13.847580408023598,6.818073786846332,3.202311966508919,3.1680120902390385
85.0,19.383634772799674,19.83677345058283,23.32831029302614,26.306119141475477,19.383634772799674,0.453138677783155,3.4915368424433098,2.977808848449339
86.0,6.142510259090146,8.53303875099826,10.024730449132681,25.667152072540198,6.142510259090146,2.390528491908114,1.4916916981344208,15.642421623407516
87.0,16.253190182038054,18.254075250803652,22.778746967473467,28.350472437814886,16.253190182038054,2.000885068765598,4.524671716669815,5.57172547034142
88.0,21.275491203710086,21.670601622303874,22.247663008386557,23.74927205113654,21.275491203710086,0.3951104185937879,0.5770613860826828,1.5016090427499833
89.0,12.862682407513152,15.335127960443213,16.116677072169193,22.32851656959305,12.862682407513152,2.4724455529300613,0.7815491117259796,6.211839497423856
90.0,13.019889372395884,13.782235987982814,21.215713435116903,23.796087117133883,13.019889372395884,0.7623466155869298,7.43347744713409,2.5803736820169796
91.0,12.717403659021837,19.991849614170583,20.134399280115577,22.119362308546215,12.717403659021837,7.274445955148746,0.14254966594499408,1.9849630284306379
92.0,14.637040652126537,21.72187250359667,23.531833793019395,25.414819503405568,14.637040652126537,7.084831851470135,1.8099612894227235,1.8829857103861727
93.0,9.969530981402578,17.507584757731156,25.8058937356429,30.335649758877217,9.969530981402578,7.538053776328578,8.298308977911745,4.529756023234317
94.0,12.280692842148774,19.86114577262832,20.4821393069463,21.6592010885325,12.280692842148774,7.580452930479545,0.6209935343179822,1.1770617815862003
95.0,12.082653150069337,14.313626029826287,23.416488351529818,26.671590957571325,12.082653150069337,2.2309728797569495,9.102862321703531,3.2551026060415076
96.0,18.59287302603532,20.827216926304843,23.400140528130002,28.911178179817867,18.59287302603532,2.234343900269522,2.57292360182516,5.5110376516878645
97.0,20.07284963075253,23.19670294277324,24.16061415607584,27.728297652195224,20.07284963075253,3.12385331202071,0.9639112133026018,3.5676834961193826
98.0,12.213470944387682,16.137786772812333,21.431733201142304,23.33361734554226,12.213470944387682,3.9243158284246515,5.293946428329971,1.9018841443999577
99.0,6.629004651976991,13.82615463399768,20.64560134888369,27.804133698428398,6.629004651976991,7.197149982020689,6.819446714886011,7.158532349544707
100.0,8.467849830961367,9.375579655959855,13.868721769508088,20.745083049447544,8.467849830961367,0.9077298249984889,4.493142113548233,6.876361279939456
101.0,7.805031358686561,18.14887085650865,24.12097423512462,25.549429023180732,7.805031358686561,10.34383949782209,5.972103378615969,1.4284547880561114
102.0,10.060439877364551,17.608758563921494,25.789741773384247,27.09803129488574,10.060439877364551,7.548318686556943,8.180983209462752,1.308289521501493
103.0,5.855881984451745,17.779573861944012,20.63400753238525,23.641507639211795,5.855881984451745,11.923691877492267,2.8544336704412387,3.0075001068265443
104.0,9.268919494515561,16.264639973359238,19.177490207770116,25.90005941312564,9.268919494515561,6.995720478843676,2.912850234410879,6.722569205355523
105.0,16.579050811962368,16.843193383399804,23.1333018122467,23.384191768982117,16.579050811962368,0.2641425714374357,6.290108428846896,0.25088995673541703
106.0,5.404538851382686,16.87265365130839,24.86810534425166,26.99671788955573,5.404538851382686,11.468114799925704,7.99545169294327,2.128612545304069
107.0,8.974773351368045,19.053699763892755,20.639522816863714,21.815713940972657,8.974773351368045,10.07892641252471,1.5858230529709587,1.1761911241089429
