time,E,I,reverse_time
0.0,0.0,1.0,35.0
0.5,0.20516422835136244,0.8723480949205458,34.5
1.0,0.3439184606313064,0.8030835593065155,34.0
1.5,0.44126071082277685,0.7711281786142603,33.5
2.0,0.5129638870956786,0.763223110791429,33.0
2.5,0.5689885369003695,0.7710380667663361,32.5
3.0,0.615633464822996,0.7893496827687689,32.0
3.5,0.6568910105197606,0.8148936567471584,31.5
4.0,0.6953011374442183,0.8456414663104542,31.0
4.5,0.7324896944311954,0.8803446434573093,30.5
5.0,0.7695076579663929,0.9182476555267923,30.0
5.5,0.8070449628496427,0.9589070378211939,29.5
6.0,0.8455653059830839,1.0020774846971232,29.0
6.5,0.8853911531938433,1.047640138261011,28.5
7.0,0.9267573687263433,1.095557471508428,28.0
7.5,0.9698450748440399,1.1458449335700265,27.5
8.0,1.0148030562142358,1.1985531612749187,27.0
8.5,1.0617613186268247,1.2537568528559708,26.5
9.0,1.110839706944399,1.3115478437118826,26.0
9.5,1.1621534129836517,1.3720308341565117,25.5
10.0,1.2158165271187977,1.4353207925493734,25.0
10.5,1.2719443608440015,1.5015414185834552,24.5
11.0,1.3306549987423384,1.5708242792439975,24.0
11.5,1.3920703689364415,1.6433083734722955,23.5
12.0,1.456317014372608,1.7191399720191791,23.0
12.5,1.5235266800460474,1.7984726359814074,22.5
13.0,1.593836788909506,1.8814673534494732,22.0
13.5,1.667390852520018,1.9682927563514814,21.5
14.0,1.7443388456710802,2.059125393866515,21.0
14.5,1.8248375636765848,2.154150047797386,20.5
15.0,1.9090509743160242,2.253560080987339,20.0
15.5,1.9971505722670084,2.3575578134672597,19.5
16.0,2.08931574122679,2.4663549233038538,19.0
16.5,2.1857341272832005,2.580172870573175,18.5
17.0,2.286602026074154,2.6992433438154815,18.0
17.5,2.392124785644981,2.823808728930565,17.5
18.0,2.5025172265301583,2.954122600869607,17.0
18.5,2.6180040803598135,3.090450238747381,16.5
19.0,2.7388204481644087,3.233069165185763,16.0
19.5,2.865212279487383,3.382269710836743,15.5
20.0,2.9974368733924868,3.5383556051397753,15.0
20.5,3.1357634024559227,3.701644594456608,14.5
21.0,3.280473460854237,3.87246908880447,14.0
21.5,3.431861637691582,4.051176838480564,13.5
22.0,3.5902361167510533,4.238131641940396,13.0
22.5,3.7559193039021057,4.4337140863616105,12.5
23.0,3.929248483448229,4.638322322395001,12.0
23.5,4.110576504755436,4.852372874676138,11.5
24.0,4.300272500562109,5.0763014897452505,11.0
24.5,4.49872263843422,5.310564023100007,10.5
25.0,4.706330906896788,5.555637367186042,10.0
25.5,4.923519937842601,5.812020422213789,9.5
26.0,5.150731866892826,6.0802351117775295,9.0
26.5,5.388429233461253,6.360827445343979,8.5
27.0,5.637095922354599,6.654368629773144,8.0
27.5,5.897238148825833,6.961456232134138,7.5
28.0,6.169385489085874,7.282715396183045,7.0
28.5,6.454091958371537,7.618800114979203,6.5
29.0,6.751937138764394,7.970394562230573,6.0
29.5,7.063527359056495,8.33821448507842,5.5
30.0,7.389496929064833,8.723008661156623,5.0
30.5,7.730509430907263,9.12556042289175,4.5
31.0,8.087259069868574,9.546689252146967,4.0
31.5,8.460472087606686,9.987252448456001,3.5
32.0,8.850908240575853,10.448146874243214,3.0
32.5,9.259362346676559,10.930310780582582,2.5
33.0,9.686665903280614,11.434725717212276,2.0
33.5,10.133688779925313,11.962418530693121,1.5
34.0,10.601340989122503,12.514463454778614,1.0
34.5,11.090574538887426,13.091984297251903,0.5
35.0,11.602385370758562,13.696156727681503,0.0
