variable,ess_basic,ess_bulk,ess_tail,rhat,address,sim_num_val
e0,732.032051526905,732.4601487268985,1136.3806622669365,1.0018939452202427,phydynR_controliso50_simnum1_eires.csv,1
i0,580.0423822438851,587.2070394825372,889.7999235533077,1.002763195857322,phydynR_controliso50_simnum1_eires.csv,1
gamma,596.2425415894336,596.1623177316386,1081.8155780041932,1.0053068020926625,phydynR_controliso50_simnum1_eires.csv,1
nu,577.3628422494963,581.1215698700504,939.9910064766312,1.006945929508151,phydynR_controliso50_simnum1_eires.csv,1
rt_t_values[0],550.719758521884,576.8827425506457,890.4640677514111,1.0018631206173958,phydynR_controliso50_simnum1_eires.csv,1
rt_t_values[1],803.7136971547347,804.5572018577565,1390.17570313259,1.003794030673027,phydynR_controliso50_simnum1_eires.csv,1
rt_t_values[2],639.1526485356247,660.6124087937892,732.5314985642134,1.0035701481359125,phydynR_controliso50_simnum1_eires.csv,1
rt_t_values[3],623.7518290382113,631.5133486290563,1247.4452982296407,1.0029401965441511,phydynR_controliso50_simnum1_eires.csv,1
rt_t_values[4],585.8033645969717,596.8032940928375,936.5286177045216,1.003301809454897,phydynR_controliso50_simnum1_eires.csv,1
rt_t_values[5],696.0623880687837,692.1408950674454,1373.7824219902611,1.0032733722043394,phydynR_controliso50_simnum1_eires.csv,1
rt_t_values[6],706.0533588133901,710.4355281985886,1313.3809195614147,1.0009912433024082,phydynR_controliso50_simnum1_eires.csv,1
rt_t_values[7],671.2413638943668,712.5887533098106,838.8745469793088,1.0034699221351184,phydynR_controliso50_simnum1_eires.csv,1
rt_t_values[8],604.1117266403634,619.9960127847926,861.7127519558801,1.0049338309049158,phydynR_controliso50_simnum1_eires.csv,1
rt_t_values[9],577.6339100863547,621.5953655237423,864.5632905609322,1.0072242683342854,phydynR_controliso50_simnum1_eires.csv,1
rt_t_values[10],705.6676223276901,712.8789391631004,1186.3902323503737,1.0012064199979434,phydynR_controliso50_simnum1_eires.csv,1
rt_t_values[11],608.939951672203,635.9790895361363,913.5978646782876,1.002608766272186,phydynR_controliso50_simnum1_eires.csv,1
rt_t_values[12],635.9479374305018,655.7400788286634,1023.3735475724848,1.0035124710618615,phydynR_controliso50_simnum1_eires.csv,1
rt_t_values[13],714.1633910140953,735.3679395931215,1154.0087017764702,1.001794945502437,phydynR_controliso50_simnum1_eires.csv,1
rt_t_values[14],789.5958518089176,797.5588597568157,1456.0023258144615,1.003841816236364,phydynR_controliso50_simnum1_eires.csv,1
rt_t_values[15],776.8258430884547,798.3672459765961,1186.0300124984853,1.007082938207018,phydynR_controliso50_simnum1_eires.csv,1
rt_t_values[16],815.1891366176948,836.3295023790499,1265.7113085680016,1.0041250933758255,phydynR_controliso50_simnum1_eires.csv,1
rt_t_values[17],702.357753857156,711.119078463228,1114.4957595554235,1.0062270773069426,phydynR_controliso50_simnum1_eires.csv,1
rt_t_values[18],835.9232987412561,841.0244510650799,1388.57519704258,1.0043820017316056,phydynR_controliso50_simnum1_eires.csv,1
rt_t_values[19],839.4058297827231,854.4630768014048,1451.1384292940704,1.0038328463531463,phydynR_controliso50_simnum1_eires.csv,1
rt_t_values[20],788.4325539024402,795.7561805977642,1555.3130872373893,1.0022114352084663,phydynR_controliso50_simnum1_eires.csv,1
rt_t_values[21],775.5799447677265,804.9840070334678,1301.6229912231668,1.0036264305099574,phydynR_controliso50_simnum1_eires.csv,1
rw_sigma,654.1363041007528,658.3487280835234,991.0320287341337,1.0042924734174554,phydynR_controliso50_simnum1_eires.csv,1
e0,722.6690825557969,726.5296702560798,1463.9629332305383,1.0083831591988823,phydynR_controliso50_simnum10_eires.csv,10
i0,746.5370297914299,746.5361703347481,1314.227442858854,1.002236926791672,phydynR_controliso50_simnum10_eires.csv,10
gamma,689.3000409706051,714.0642802249891,966.1978869511761,1.0016226254248863,phydynR_controliso50_simnum10_eires.csv,10
nu,657.1667424955446,662.7773372232182,1149.0259187214804,1.0038291734743718,phydynR_controliso50_simnum10_eires.csv,10
rt_t_values[0],787.3041102286887,804.3808249755933,1260.1614241157688,1.0053467725833487,phydynR_controliso50_simnum10_eires.csv,10
rt_t_values[1],747.8011280574864,762.2178596315384,1263.6977222100977,1.0053781510506692,phydynR_controliso50_simnum10_eires.csv,10
rt_t_values[2],679.7206379544723,689.4562587191455,1080.2667023851493,1.011299712111199,phydynR_controliso50_simnum10_eires.csv,10
rt_t_values[3],660.2282101810641,684.5681739117166,1144.8061861274693,1.0056676438279957,phydynR_controliso50_simnum10_eires.csv,10
rt_t_values[4],606.07234808943,607.7857900294915,928.8082197452828,1.0062971727457075,phydynR_controliso50_simnum10_eires.csv,10
rt_t_values[5],787.3521448720076,792.8568050184873,1109.587808863287,1.0115293389402757,phydynR_controliso50_simnum10_eires.csv,10
rt_t_values[6],770.269411321953,775.6422692969277,1369.5127491179644,1.0037523428695896,phydynR_controliso50_simnum10_eires.csv,10
rt_t_values[7],605.1868220774111,604.1520590749471,1305.6291463545513,1.0043836978269858,phydynR_controliso50_simnum10_eires.csv,10
rt_t_values[8],652.2503283012467,665.3144182584474,1100.1287507480272,1.0071546037923775,phydynR_controliso50_simnum10_eires.csv,10
rt_t_values[9],767.9500083484041,777.8508469005521,1257.0908949053796,1.0072483314859817,phydynR_controliso50_simnum10_eires.csv,10
rt_t_values[10],755.4434546196311,757.6343245654366,1422.156745457984,1.0054285495247333,phydynR_controliso50_simnum10_eires.csv,10
rt_t_values[11],705.3426290786003,712.1198301160507,1121.0169003472538,1.0014715809599275,phydynR_controliso50_simnum10_eires.csv,10
rt_t_values[12],794.2390102506611,804.1147699762222,1165.5300567623049,1.0029683308474358,phydynR_controliso50_simnum10_eires.csv,10
rt_t_values[13],785.7781523423381,792.925236962885,1385.9986793092608,1.0027100982581876,phydynR_controliso50_simnum10_eires.csv,10
rt_t_values[14],796.6359779949357,798.0333194957002,1332.5565189427114,1.003503345641307,phydynR_controliso50_simnum10_eires.csv,10
rt_t_values[15],868.4972707181448,872.4271362427205,1608.6846148721982,1.0030668552470614,phydynR_controliso50_simnum10_eires.csv,10
rt_t_values[16],799.5231861940991,786.9451935498055,1526.8388310152573,1.0099333252530491,phydynR_controliso50_simnum10_eires.csv,10
rt_t_values[17],779.9695776732998,777.6526576823168,1406.7173277259842,1.004227627764795,phydynR_controliso50_simnum10_eires.csv,10
rt_t_values[18],588.1692207171511,604.4478397686274,1296.178638184633,1.002156013533407,phydynR_controliso50_simnum10_eires.csv,10
