time,S,E,I,R,beta,r0,rt,sim,real_seed
0.0,14999.0,0.0,1.0,0.0,0.18571428571428572,1.3,1.2999133333333335,1,105
1.0,14999.0,0.0,1.0,0.0,0.1880141973337313,1.316099381336119,1.3160116413773635,1,105
2.0,14999.0,0.0,1.0,0.0,0.1903425913794852,1.3323981396563964,1.3323093131137527,1,105
3.0,14999.0,0.0,1.0,0.0,0.19269982058188784,1.348898744073215,1.3488088174902768,1,105
4.0,14999.0,0.0,1.0,0.0,0.1950862420395413,1.3656036942767893,1.3655126540305043,1,105
5.0,14999.0,0.0,1.0,0.0,0.19750221727340672,1.382515520913847,1.3824233532124528,1,105
5.316714018264543,14998.0,1.0,1.0,0.0,0.19750221727340672,1.382515520913847,1.3823311855110585,1,105
6.0,14998.0,1.0,1.0,0.0,0.19994811228157103,1.3996367859709973,1.3994501677328677,1,105
7.0,14998.0,1.0,1.0,0.0,0.2024242975946927,1.416970083162849,1.4167811538184272,1,105
8.0,14998.0,1.0,1.0,0.0,0.20493114833213347,1.4345180383249343,1.4343267692531576,1,105
8.449447009660227,14997.0,2.0,1.0,0.0,0.20493114833213347,1.4345180383249343,1.4342311347172692,1,105
8.6272122681402,14997.0,1.0,2.0,0.0,0.20493114833213347,1.4345180383249343,1.4342311347172692,1,105
9.0,14997.0,1.0,2.0,0.0,0.2074690442587856,1.4522833098114993,1.451992853149537,1,105
9.471145711341443,14996.0,2.0,2.0,0.0,0.2074690442587856,1.4522833098114993,1.4518960342622163,1,105
10.0,14996.0,2.0,2.0,0.0,0.21003836984260282,1.4702685888982199,1.4698765172745138,1,105
10.502876941090921,14995.0,3.0,2.0,0.0,0.21003836984260282,1.4702685888982199,1.4697784993685872,1,105
10.785293827687138,14994.0,4.0,2.0,0.0,0.21003836984260282,1.4702685888982199,1.4696804814626605,1,105
11.0,14994.0,4.0,2.0,0.0,0.2126395143128435,1.4884766001899046,1.4878812095498286,1,105
11.300612771363994,14993.0,5.0,2.0,0.0,0.2126395143128435,1.4884766001899046,1.4877819777764827,1,105
12.0,14993.0,5.0,2.0,0.0,0.21527287171903553,1.5069101020332487,1.5062068773189665,1,105
12.818450452456409,14993.0,4.0,3.0,0.0,0.21527287171903553,1.5069101020332487,1.5062068773189665,1,105
13.0,14993.0,4.0,3.0,0.0,0.21793884099067107,1.5255718869346975,1.5248599533874612,1,105
13.264392536719912,14993.0,3.0,4.0,0.0,0.21793884099067107,1.5255718869346975,1.5248599533874612,1,105
13.309592700846213,14993.0,2.0,5.0,0.0,0.21793884099067107,1.5255718869346975,1.5248599533874612,1,105
13.963407741602081,14993.0,1.0,6.0,0.0,0.21793884099067107,1.5255718869346975,1.5248599533874612,1,105
14.0,14993.0,1.0,6.0,0.0,0.22063782599764076,1.5444647819834854,1.5437440317518931,1,105
14.633229051121509,14992.0,2.0,6.0,0.0,0.22063782599764076,1.5444647819834854,1.543641067433094,1,105
15.0,14992.0,2.0,6.0,0.0,0.22337023561141636,1.5635916492799147,1.5627577337336322,1,105
15.184005279696468,14992.0,2.0,5.0,1.0,0.22337023561141636,1.5635916492799147,1.5627577337336322,1,105
