reverse_times,reverse_dates,forward_times
289,2014-05-01,66
290,2014-04-30,65
291,2014-04-29,64
292,2014-04-28,63
293,2014-04-27,62
294,2014-04-26,61
295,2014-04-25,60
296,2014-04-24,59
297,2014-04-23,58
298,2014-04-22,57
299,2014-04-21,56
300,2014-04-20,55
301,2014-04-19,54
302,2014-04-18,53
303,2014-04-17,52
304,2014-04-16,51
305,2014-04-15,50
306,2014-04-14,49
307,2014-04-13,48
308,2014-04-12,47
309,2014-04-11,46
310,2014-04-10,45
311,2014-04-09,44
312,2014-04-08,43
313,2014-04-07,42
314,2014-04-06,41
315,2014-04-05,40
316,2014-04-04,39
317,2014-04-03,38
318,2014-04-02,37
319,2014-04-01,36
320,2014-03-31,35
321,2014-03-30,34
322,2014-03-29,33
323,2014-03-28,32
324,2014-03-27,31
325,2014-03-26,30
326,2014-03-25,29
327,2014-03-24,28
328,2014-03-23,27
329,2014-03-22,26
330,2014-03-21,25
331,2014-03-20,24
332,2014-03-19,23
333,2014-03-18,22
334,2014-03-17,21
335,2014-03-16,20
336,2014-03-15,19
337,2014-03-14,18
338,2014-03-13,17
339,2014-03-12,16
340,2014-03-11,15
341,2014-03-10,14
342,2014-03-09,13
343,2014-03-08,12
344,2014-03-07,11
345,2014-03-06,10
346,2014-03-05,9
347,2014-03-04,8
348,2014-03-03,7
349,2014-03-02,6
350,2014-03-01,5
351,2014-02-28,4
352,2014-02-27,3
353,2014-02-26,2
354,2014-02-25,1
355,2014-02-24,0
