.iteration,posterior,gamma,nu,samp_prop[0],samp_prop[1],samp_prop[2],samp_prop[3],samp_prop[4],samp_prop[5],samp_prop[6],samp_prop[7],samp_prop[8],samp_prop[9],rt_t_values[0],rt_t_values[1],rt_t_values[2],rt_t_values[3],rt_t_values[4],rt_t_values[5],rt_t_values[6],rt_t_values[7],rt_t_values[8],rt_t_values[9],rt_t_values[10],rt_t_values[11],.chain
499000,-198.3271037966273,84.81584156027569,19.881909376398845,0,0.22329438043079927,0.03423499141573393,0.1411502844397315,0.24655366584635569,0.13388985026836225,0.36549863376816233,0.4602998487315128,0.24605337085201276,0.2051338045476316,2.712930936866948,0.1888326997590556,1.238917529633577,0.9871301305162252,1.712209613430669,2.1583223133329725,0.7908640589762767,0.34655933218141355,1.4848297463406464,0.4256764864777677,0.483879942638487,2.313840888907044,1
500000,-194.9321043788136,80.28451651498574,24.71122023009753,0,0.14200555225660874,0.0942697766334867,0.01564340808453657,0.20044947426880008,0.11296278239719594,0.32608250553612295,0.33467979198539993,0.18973068025246417,0.3337407532109379,2.810220166134386,1.1126754949154762,1.6879967256742188,2.1339511844086503,1.506179762800987,2.25435694727971,0.7537368247615435,0.4669317584724078,1.1637925924668933,0.5135042974980524,0.483879942638487,0.8360393496613946,1
501000,-191.00414117438996,128.8436559026321,18.83399820972185,0,0.10666762862347778,0.05950497018225195,0.01473867230220578,0.19954542304880907,0.11296278239719594,0.32608250553612295,0.4194960400251434,0.3269814266440406,0.37941083943576537,0.6162091438704643,0.69430491457986,1.7266128954822624,1.1827480030173017,1.86556320040262,2.25435694727971,0.6788901295458423,0.3663753448630588,0.8892065593971235,0.2630169073545709,0.4274862646512028,0.6265385120379865,1
502000,-189.93096447194813,71.1788040201388,22.2604131024452,0,0.1562885198862023,0.046050882717261175,0.027833512722844983,0.3378397637385911,0.1731184140955492,0.32608250553612295,0.33502840476614204,0.30354447098786763,0.2310426813602137,0.6526914765468321,0.14425553849296915,1.179208761219234,1.413099123984471,1.3248470764663829,2.106339078298818,0.7704145362805445,0.30095843190225297,0.8857864444776916,0.5427219687017085,0.4348901043870897,1.3664777780120914,1
503000,-187.61880254064084,93.88126518747764,21.48008221307105,0,0.0814529500254025,0.08527693900364801,0.03168080337711931,0.3297565237313848,0.13325858397163534,0.3091061181727206,0.27137451287355685,0.30354447098786763,0.2842679234358405,0.6027650687812892,2.2079068822904766,0.6504237095756438,1.4406667667151378,1.7995891592943718,2.106339078298818,1.0196030688390387,0.3687393841219645,0.8857864444776916,0.46561061361246536,0.4780553839292001,1.9822708462329397,1
504000,-198.1816392463704,90.7352480935874,23.10096055784724,0,0.028349306540604677,0.1720943699635825,0.07237377369823772,0.1882729048840873,0.1913816061249949,0.25509350650057827,0.34030054121333275,0.312267564410462,0.2842679234358405,0.491410481857156,2.739484656856573,0.6011219567546446,2.0492754862650373,1.1011790747350343,2.106339078298818,0.6603257592487891,0.5688805112980325,0.8857864444776916,0.5333437435308955,0.438594792431779,0.463699715232102,1
505000,-191.50929742025517,95.80996067057028,28.68395575871421,0,0.0852434267134609,0.055225430274484615,0.02916919007021374,0.2362980817703424,0.06928719061726013,0.2168470975219106,0.19358627899013575,0.2574337831100717,0.3808494165327244,0.3671280466469524,0.32977629633578365,0.4632359482518482,2.0492754862650373,1.1011790747350343,2.1441537809641518,0.6400819712519804,0.5688805112980325,0.6304048449032164,0.4394468149867249,0.2637939550343903,1.281931302131604,1
506000,-190.5444551183659,89.31810161875698,29.31571977392626,0,0.04878881803144136,0.0984179076099099,0.034116870526724,0.17045370213311214,0.06928719061726013,0.2224145565727736,0.3227263219259779,0.236499714426137,0.3808494165327244,1.0867256150103917,0.948444881509296,0.6708729521856076,2.0492754862650373,1.1491866753812865,2.1441537809641518,0.6400819712519804,0.3544046932560581,0.9632736720127736,0.4394468149867249,0.4932169844470632,0.5516148909639196,1
507000,-185.7479044789983,72.96129300696015,25.8799244056464,0,0.01207318531784364,0.05551706099717453,0.0639355549936637,0.3679399447761781,0.1738451713935267,0.25710440922892697,0.3227263219259779,0.178485195795681,0.2190154117919993,0.986156128752363,1.3522453201188205,1.0865940502705271,1.047673520725332,1.1491866753812865,2.0144176164242,0.8006980185338525,0.4987444488359272,1.144683703333897,0.2807559096328346,0.4932169844470632,2.009831156582546,1
508000,-186.49304554836775,75.21487720445056,24.528943456096755,0,0.04582665403899325,0.02616117174013682,0.2030667468924083,0.22246267337922143,0.10790273475183176,0.3309908124196081,0.3520410881863454,0.17394949942155155,0.2190154117919993,0.986156128752363,0.9308604738683378,1.104530411840296,1.0941586112617616,1.4074795941119578,2.106657017727981,0.7231651804404811,0.5166743420010612,1.0611221125474095,0.35185081791799067,0.5080705538311787,0.7597198015573993,1
509000,-198.50588611092283,69.91606372284498,21.166143247060297,0,0.13434362063335625,0.24715141258982612,0.24866273522786583,0.3198342446621194,0.1682436061481393,0.47138571466172935,0.3520410881863454,0.1438548105665974,0.1577729949156639,1.237093571422507,1.400986473521641,0.8462329027502101,1.9723748900539584,1.650368950040628,1.808073144658333,0.7231651804404811,0.4962708328427798,1.3536970417070355,0.3977549729360269,0.7146006290175836,1.1366457330850994,1
