variable,ess_basic,ess_bulk,ess_tail,address,sim_num_val
nu,NA,NA,NA,beast_controliso50_simnum1_oldversion.log,1
gamma,1389.663745668746,1315.5374776252465,1707.8339267536846,beast_controliso50_simnum1_oldversion.log,1
rt_t_values[0],320.5084942947561,392.74327753002666,500.66604233968553,beast_controliso50_simnum1_oldversion.log,1
rt_t_values[1],570.0179244381021,624.7697282119153,732.1815687783514,beast_controliso50_simnum1_oldversion.log,1
rt_t_values[2],449.52447526434133,586.2990990812993,603.211234316524,beast_controliso50_simnum1_oldversion.log,1
rt_t_values[3],654.3949659632674,847.482664741763,539.4043630417709,beast_controliso50_simnum1_oldversion.log,1
rt_t_values[4],NA,NA,NA,beast_controliso50_simnum1_oldversion.log,1
nu,NA,NA,NA,beast_controliso50_simnum1.log,1
gamma,1949.9177292499644,1965.7458520286568,2261.2175555564454,beast_controliso50_simnum1.log,1
rt_t_values[0],2119.7015083606193,2106.356054987436,2199.2005331210817,beast_controliso50_simnum1.log,1
rt_t_values[1],1655.4604513520883,1651.5726774032732,2107.6780233318063,beast_controliso50_simnum1.log,1
rt_t_values[2],707.3990239129158,709.695051484892,1277.6683008341527,beast_controliso50_simnum1.log,1
rt_t_values[3],755.2270175058637,759.5563297981457,1221.1778582477707,beast_controliso50_simnum1.log,1
rt_t_values[4],1485.8049729486356,1485.3160296845813,1836.6119796488151,beast_controliso50_simnum1.log,1
nu,NA,NA,NA,beast_controliso50_simnum10.log,10
gamma,1928.9841572718772,1972.8436784110484,2238.6708357168113,beast_controliso50_simnum10.log,10
rt_t_values[0],2249.259995762778,2276.534051151387,2175.1133581829667,beast_controliso50_simnum10.log,10
rt_t_values[1],1924.4788657947536,1931.3334885149068,1932.4962087655035,beast_controliso50_simnum10.log,10
rt_t_values[2],521.5737455378005,520.5046831048888,951.8537178183883,beast_controliso50_simnum10.log,10
rt_t_values[3],508.6946859859545,511.6938351313113,894.0353697630771,beast_controliso50_simnum10.log,10
rt_t_values[4],1267.7410859746835,1244.1930008965057,1968.6392792278289,beast_controliso50_simnum10.log,10
nu,NA,NA,NA,beast_controliso50_simnum11.log,11
gamma,1986.807992437135,1982.3763517354373,1934.0019593125703,beast_controliso50_simnum11.log,11
rt_t_values[0],2133.903492358334,2223.8353899603303,1920.8695931961852,beast_controliso50_simnum11.log,11
rt_t_values[1],1808.6344225366806,1834.8290413613581,1977.4634541245587,beast_controliso50_simnum11.log,11
rt_t_values[2],818.0186647514836,820.9398246804939,1186.4564449775287,beast_controliso50_simnum11.log,11
rt_t_values[3],784.1130633735182,792.4095061810498,1255.5044509320544,beast_controliso50_simnum11.log,11
rt_t_values[4],1312.2602256083862,1315.6098868432182,1837.6786103034995,beast_controliso50_simnum11.log,11
nu,NA,NA,NA,beast_controliso50_simnum12.log,12
gamma,1924.3663951988756,1904.0887144847309,2241.50788521986,beast_controliso50_simnum12.log,12
rt_t_values[0],2118.499210326885,2153.0885784717443,2142.4686295900992,beast_controliso50_simnum12.log,12
rt_t_values[1],1550.9455421092018,1498.8758556167552,1983.4129059427994,beast_controliso50_simnum12.log,12
rt_t_values[2],785.396400835268,790.8531744407129,1299.7187819131225,beast_controliso50_simnum12.log,12
rt_t_values[3],809.2396645054249,812.4891970725746,1219.6414512628141,beast_controliso50_simnum12.log,12
rt_t_values[4],1581.581205139316,1571.345630320049,1972.6801610830892,beast_controliso50_simnum12.log,12
nu,NA,NA,NA,beast_controliso50_simnum13.log,13
gamma,2042.3515126503867,1971.6769986168867,2236.4029770106063,beast_controliso50_simnum13.log,13
rt_t_values[0],2229.2827962456668,2274.8902966116125,1956.6905898472264,beast_controliso50_simnum13.log,13
rt_t_values[1],1929.3568045088075,1931.3685498881355,1759.1692269400144,beast_controliso50_simnum13.log,13
rt_t_values[2],959.2324928749407,975.1921692846987,1534.0396628365156,beast_controliso50_simnum13.log,13
rt_t_values[3],835.109051717856,837.1426474736933,1111.8652887791875,beast_controliso50_simnum13.log,13
