lump,time,new_time,reverse_time,value,true_rt,.lower,.upper,.width,address,sim_num_val,sim
0,0,0,152.79384544904488,0.8280809717672291,2.1998533333333334,0.5304101519292557,1.3207009190394556,0.5,simnum1fit_bdmm_control_weekly.log,1,9
0,0.20615455095511953,0.20615455095511953,152.58769089808976,0.8280809717672291,2.199706666666667,0.5304101519292557,1.3207009190394556,0.5,simnum1fit_bdmm_control_weekly.log,1,9
1,7.93361161447824,7.93361161447824,144.86023383456663,0.7790465200741561,2.19956,0.5065203309600977,1.2318656851470635,0.5,simnum1fit_bdmm_control_weekly.log,1,9
1,9.95212684696195,9.95212684696195,142.84171860208292,0.7790465200741561,2.19956,0.5065203309600977,1.2318656851470635,0.5,simnum1fit_bdmm_control_weekly.log,1,9
1,10.371093931353617,10.371093931353617,142.42275151769127,0.7790465200741561,2.1992666666666665,0.5065203309600977,1.2318656851470635,0.5,simnum1fit_bdmm_control_weekly.log,1,9
1,10.608827904914794,10.608827904914794,142.1850175441301,0.7790465200741561,2.1992666666666665,0.5065203309600977,1.2318656851470635,0.5,simnum1fit_bdmm_control_weekly.log,1,9
1,11.008654234534925,11.008654234534925,141.78519121450995,0.7790465200741561,2.1992666666666665,0.5065203309600977,1.2318656851470635,0.5,simnum1fit_bdmm_control_weekly.log,1,9
2,13.338855046648236,13.338855046648236,139.45499040239665,0.9850759623351131,2.1992666666666665,0.6563892204115548,1.5160065859766854,0.5,simnum1fit_bdmm_control_weekly.log,1,9
2,13.627494926503497,13.627494926503497,139.1663505225414,0.9850759623351131,2.1992666666666665,0.6563892204115548,1.5160065859766854,0.5,simnum1fit_bdmm_control_weekly.log,1,9
2,14.650661663465591,14.650661663465591,138.14318378557928,0.9850759623351131,2.19912,0.6563892204115548,1.5160065859766854,0.5,simnum1fit_bdmm_control_weekly.log,1,9
2,17.213786026040907,17.213786026040907,135.58005942300397,0.9850759623351131,2.19912,0.6563892204115548,1.5160065859766854,0.5,simnum1fit_bdmm_control_weekly.log,1,9
2,18.06191358910587,18.06191358910587,134.731931859939,0.9850759623351131,2.198973333333334,0.6563892204115548,1.5160065859766854,0.5,simnum1fit_bdmm_control_weekly.log,1,9
2,19.26055442680738,19.26055442680738,133.5332910222375,0.9850759623351131,2.1988266666666667,0.6563892204115548,1.5160065859766854,0.5,simnum1fit_bdmm_control_weekly.log,1,9
2,19.516275605637738,19.516275605637738,133.27756984340715,0.9850759623351131,2.1988266666666667,0.6563892204115548,1.5160065859766854,0.5,simnum1fit_bdmm_control_weekly.log,1,9
3,20.16660013893875,20.16660013893875,132.62724531010613,1.7455218194370046,2.1986800000000004,1.2274575370913547,2.4234181214828787,0.5,simnum1fit_bdmm_control_weekly.log,1,9
3,20.759783157713343,20.759783157713343,132.03406229133154,1.7455218194370046,2.1986800000000004,1.2274575370913547,2.4234181214828787,0.5,simnum1fit_bdmm_control_weekly.log,1,9
3,22.210889417255444,22.210889417255444,130.58295603178942,1.7455218194370046,2.1986800000000004,1.2274575370913547,2.4234181214828787,0.5,simnum1fit_bdmm_control_weekly.log,1,9
