variable,ess_basic,ess_bulk,ess_tail,address,sim_num_val
nu,1694.9263863768551,1599.4144285396853,2053.4794611190614,simnum1fit_bdmm_control_weekly.log,1
gamma,1805.105172487983,1814.0060183100247,2028.4958648995632,simnum1fit_bdmm_control_weekly.log,1
rt_t_values[0],522.5982227401901,727.9275431821605,795.8702982937576,simnum1fit_bdmm_control_weekly.log,1
rt_t_values[1],469.1550932124429,711.8627627463616,498.9713030168449,simnum1fit_bdmm_control_weekly.log,1
rt_t_values[2],556.7573854786525,724.6682983562645,683.89445692555,simnum1fit_bdmm_control_weekly.log,1
rt_t_values[3],718.8630608841703,883.4888618927239,802.0446626129237,simnum1fit_bdmm_control_weekly.log,1
rt_t_values[4],993.6498957802246,1077.3229421161282,932.7885980246253,simnum1fit_bdmm_control_weekly.log,1
rt_t_values[5],952.4082165072184,1012.6310129213165,934.9333229954626,simnum1fit_bdmm_control_weekly.log,1
rt_t_values[6],847.7619665807854,898.6896192051053,919.8077533656192,simnum1fit_bdmm_control_weekly.log,1
rt_t_values[7],560.7766021443017,564.2379341723812,602.8945434787431,simnum1fit_bdmm_control_weekly.log,1
rt_t_values[8],348.29523402232115,407.95211871908936,410.4970335380918,simnum1fit_bdmm_control_weekly.log,1
rt_t_values[9],606.5269200457625,701.4865105795329,627.7116244004917,simnum1fit_bdmm_control_weekly.log,1
rt_t_values[10],211.76850427656848,224.11202450597713,282.23189045816605,simnum1fit_bdmm_control_weekly.log,1
rt_t_values[11],553.852583144065,641.4118444414443,679.3341200309729,simnum1fit_bdmm_control_weekly.log,1
rt_t_values[12],312.8142800005809,363.3656367226296,350.02591359784174,simnum1fit_bdmm_control_weekly.log,1
rt_t_values[13],479.1841804574661,554.6896212635788,595.3055353499602,simnum1fit_bdmm_control_weekly.log,1
rt_t_values[14],398.9501826287179,512.8946560324149,503.88191569123353,simnum1fit_bdmm_control_weekly.log,1
rt_t_values[15],347.2992551372889,390.5176826900256,495.1143427899513,simnum1fit_bdmm_control_weekly.log,1
rt_t_values[16],485.5619404711909,624.4059316970935,492.17614902287306,simnum1fit_bdmm_control_weekly.log,1
rt_t_values[17],660.3794163352659,726.5543066437878,664.4003814345153,simnum1fit_bdmm_control_weekly.log,1
rt_t_values[18],489.89066842204636,551.0755491739893,538.0692874210189,simnum1fit_bdmm_control_weekly.log,1
rt_t_values[19],606.0911645483312,693.8375002258111,537.6890273068994,simnum1fit_bdmm_control_weekly.log,1
rt_t_values[20],719.9342361170287,779.0340396296015,838.8328660358328,simnum1fit_bdmm_control_weekly.log,1
rt_t_values[21],773.4278113544527,865.0047835099996,994.0932403534936,simnum1fit_bdmm_control_weekly.log,1
