lump,time,new_time,reverse_time,value,true_rt,.lower,.upper,.width,address,sim_num_val,sim
0,16.81475598098205,0,136.18524401901794,2.0002355644587313,1.5820056131371154,1.8724101234810129,2.1467317238411967,0.5,ei_cdf_sim6_simnum22.csv,22,6
0,17,0.18524401901794363,136,2.0002355644587313,1.6014905540613178,1.8724101234810129,2.1467317238411967,0.5,ei_cdf_sim6_simnum22.csv,22,6
0,18,1.1852440190179436,135,2.0002355644587313,1.6213236364736452,1.8724101234810129,2.1467317238411967,0.5,ei_cdf_sim6_simnum22.csv,22,6
0,18.607212441795937,1.7924564608138667,134.39278755820408,2.0002355644587313,1.621215476124314,1.8724101234810129,2.1467317238411967,0.5,ei_cdf_sim6_simnum22.csv,22,6
0,19,2.1852440190179436,134,2.0002355644587313,1.6412928347228857,1.8724101234810129,2.1467317238411967,0.5,ei_cdf_sim6_simnum22.csv,22,6
0,20.047392997019408,3.2326370160373585,132.95260700298059,2.0002355644587313,1.661507978247663,1.8724101234810129,2.1467317238411967,0.5,ei_cdf_sim6_simnum22.csv,22,6
0,20.6450634331474,3.830307452165357,132.3549365668526,2.0002355644587313,1.66128626648115,1.8724101234810129,2.1467317238411967,0.5,ei_cdf_sim6_simnum22.csv,22,6
0,21.18230880306379,4.367552822081734,131.8176911969362,2.0002355644587313,1.6818598673369485,1.8724101234810129,2.1467317238411967,0.5,ei_cdf_sim6_simnum22.csv,22,6
0,21.71677574149324,4.902019760511195,131.28322425850675,2.0002355644587313,1.6817476385989705,1.8724101234810129,2.1467317238411967,0.5,ei_cdf_sim6_simnum22.csv,22,6
0,22.263337595504925,5.44858161452288,130.73666240449506,2.0002355644587313,1.7024610173468946,1.8724101234810129,2.1467317238411967,0.5,ei_cdf_sim6_simnum22.csv,22,6
0,22.806431767093457,5.9916757861113865,130.19356823290656,2.0002355644587313,1.7024610173468946,1.8724101234810129,2.1467317238411967,0.5,ei_cdf_sim6_simnum22.csv,22,6
0,23.093163401652564,6.278407420670504,129.90683659834744,2.0002355644587313,1.7235445320608525,1.8724101234810129,2.1467317238411967,0.5,ei_cdf_sim6_simnum22.csv,22,6
0,23.550000213084967,6.7352442321029,129.44999978691504,2.0002355644587313,1.7233144807351637,1.8724101234810129,2.1467317238411967,0.5,ei_cdf_sim6_simnum22.csv,22,6
1,24,7.185244019017944,129,2.1551110964738207,1.7446562476485568,1.9632164716490854,2.3646403539958465,0.5,ei_cdf_sim6_simnum22.csv,22,6
1,25.30621184759534,8.4914558666132791,127.69378815240466,2.1551110964738207,1.7661444216886724,1.9632164716490854,2.3646403539958465,0.5,ei_cdf_sim6_simnum22.csv,22,6
1,26,9.185244019017944,127,2.1551110964738207,1.7880166005651537,1.9632164716490854,2.3646403539958465,0.5,ei_cdf_sim6_simnum22.csv,22,6
1,26.81242032418577,9.99766434320371,126.18757967581423,2.1551110964738207,1.7876585437063528,1.9632164716490854,2.3646403539958465,0.5,ei_cdf_sim6_simnum22.csv,22,6
1,27.26200992886068,10.447253947878622,125.73799007113932,2.1551110964738207,1.809555495747634,1.9632164716490854,2.3646403539958465,0.5,ei_cdf_sim6_simnum22.csv,22,6
1,27.765512424445447,10.95075644346339,125.23448757555455,2.1551110964738207,1.8091930046627485,1.9632164716490854,2.3646403539958465,0.5,ei_cdf_sim6_simnum22.csv,22,6
1,28.21795197933383,11.403195998351777,124.78204802066617,2.1551110964738207,1.831475976453917,1.9632164716490854,2.3646403539958465,0.5,ei_cdf_sim6_simnum22.csv,22,6
1,28.7975174476374,11.982761466655347,124.2024825523626,2.1551110964738207,1.831475976453917,1.9632164716490854,2.3646403539958465,0.5,ei_cdf_sim6_simnum22.csv,22,6
1,29.293068855316612,12.478312874334563,123.70693114468338,2.1551110964738207,1.8540333887645513,1.9632164716490854,2.3646403539958465,0.5,ei_cdf_sim6_simnum22.csv,22,6
1,29.440212633504405,12.625456652522345,123.5597873664956,2.1551110964738207,1.8540333887645513,1.9632164716490854,2.3646403539958465,0.5,ei_cdf_sim6_simnum22.csv,22,6
1,30,13.185244019017944,123,2.1551110964738207,1.8769939968688725,1.9632164716490854,2.3646403539958465,0.5,ei_cdf_sim6_simnum22.csv,22,6
1,30.792649767851504,13.977893786869444,122.2073502321485,2.1551110964738207,1.876868621543452,1.9632164716490854,2.3646403539958465,0.5,ei_cdf_sim6_simnum22.csv,22,6
2,31.133182468308405,14.318426487326349,121.8668175316916,2.370465311769804,1.8997312403829616,2.151601937993044,2.603300865085995,0.5,ei_cdf_sim6_simnum22.csv,22,6
2,31.808791639911377,14.99403565892932,121.19120836008862,2.370465311769804,1.899604312392023,2.151601937993044,2.603300865085995,0.5,ei_cdf_sim6_simnum22.csv,22,6
2,32,15.185244019017944,121,2.370465311769804,1.923129277171204,2.151601937993044,2.603300865085995,0.5,ei_cdf_sim6_simnum22.csv,22,6
2,32.68833746740228,15.873581486420221,120.31166253259772,2.370465311769804,1.92300077728632,2.151601937993044,2.603300865085995,0.5,ei_cdf_sim6_simnum22.csv,22,6
2,33.19521321393624,16.380457232954186,119.80478678606376,2.370465311769804,1.9462951221687788,2.151601937993044,2.603300865085995,0.5,ei_cdf_sim6_simnum22.csv,22,6
2,33.67902069502137,16.864264714039308,119.32097930497864,2.370465311769804,1.9462951221687788,2.151601937993044,2.603300865085995,0.5,ei_cdf_sim6_simnum22.csv,22,6
2,34.31037033911401,17.495614358131945,118.689629660886,2.370465311769804,1.9702666101355928,2.151601937993044,2.603300865085995,0.5,ei_cdf_sim6_simnum22.csv,22,6
2,34.646649330014284,17.831893349032228,118.35335066998572,2.370465311769804,1.9702666101355928,2.151601937993044,2.603300865085995,0.5,ei_cdf_sim6_simnum22.csv,22,6
2,35,18.185244019017944,118,2.370465311769804,1.9946666666666664,2.151601937993044,2.603300865085995,0.5,ei_cdf_sim6_simnum22.csv,22,6
2,35.31866038166404,18.50390440068199,117.68133961833595,2.370465311769804,1.9945333333333333,2.151601937993044,2.603300865085995,0.5,ei_cdf_sim6_simnum22.csv,22,6
2,36.287191057456326,19.47243507647427,116.71280894254367,2.370465311769804,1.994133333333333,2.151601937993044,2.603300865085995,0.5,ei_cdf_sim6_simnum22.csv,22,6
2,36.69451252549059,19.879756544508524,116.30548747450942,2.370465311769804,1.994,2.151601937993044,2.603300865085995,0.5,ei_cdf_sim6_simnum22.csv,22,6
2,36.95805032922109,20.14329434823904,116.0419496707789,2.370465311769804,1.994,2.151601937993044,2.603300865085995,0.5,ei_cdf_sim6_simnum22.csv,22,6
