gamma,nu,e0,i0,rw_sigma,rt_t_values[0],rt_t_values[1],rt_t_values[2],rt_t_values[3],rt_t_values[4],rt_t_values[5],rt_t_values[6],rt_t_values[7],rt_t_values[8],rt_t_values[9],rt_t_values[10],rt_t_values[11],rt_t_values[12],rt_t_values[13],rt_t_values[14],rt_t_values[15],rt_t_values[16],rt_t_values[17],rt_t_values[18],rt_t_values[19],rt_t_values[20],rt_t_values[21],log_likelihood,actual_iteration
0.22890764976553057,0.16044204011353966,1.1646223199764087,1.0649096527112984,0.2150586401562496,1.7743856798128637,1.3479484669578323,1.5778933980302836,1.6156455661138394,1.6550845310990252,1.8225812455323867,2.6482107931474426,3.3078374622359976,2.9921424573337867,2.469950649611913,2.036645249621432,1.8183398335052807,1.3770209219601588,1.2491564742895853,1.2041145591192957,1.0164425924569893,1.2069036742796848,1.4140560619861284,1.0337927023453746,0.857083087940574,0.713964870865547,0.7980338793256965,-187.87367782680366,20010.0
0.22253823152007549,0.16329648196302687,1.2041530801958216,1.0656388384634523,0.2119928102438756,1.9854357577962876,1.4626613643151094,1.572409624765508,1.582298802219622,1.7011113008155332,1.7862716899926139,2.7359979214051537,3.1532173909156045,3.076567044363437,2.595968369408244,1.961056643471998,1.8029035703412999,1.32840210311671,1.1453163999334504,1.1625473137805638,1.0607642071898225,1.1561017540099374,1.097898592266416,0.8286985959538715,0.5923651317826303,0.5069911734676606,0.6662954489442902,-190.67306996746757,20020.0
0.24954771082315483,0.16597656028632066,1.2089029355007739,1.0602099652557697,0.2033712354402906,1.9782288600008644,1.3311046261452635,1.3100273276919798,1.7386669185321522,1.8257906719772592,1.8133240506819235,2.4308018728507905,2.667805989527947,2.7160660625527595,2.0429299012343938,1.6077468336806056,1.5821579838125923,1.2717680112773475,1.1580963958285808,1.1298035278272176,1.0292894455934454,1.2063883689084305,1.1820324070484558,0.9283985930647222,0.6100335564223279,0.5545794060746633,0.6800771580033064,-205.26200861381622,20030.0
0.26956598363801443,0.15031366082456907,1.2157251258438615,1.0734248563665385,0.19901386144765043,1.8754509014542546,1.3315707251274933,1.376921171908296,1.7569204538684262,1.9164190796657048,2.1104053568247814,2.7572692476612417,3.1546017647434526,3.083910486301425,2.1502507788004097,1.7110065261493295,1.6012831838121042,1.4092714720129418,1.3346561763057634,1.1232078604385112,1.051179431545695,1.2643329855152432,1.1812941877554528,0.9320415298711268,0.5851743590295485,0.5264214309266554,0.6447815521472593,-207.5570086788286,20040.0
0.2615998233350359,0.14996081385466964,1.2021080635988333,1.0694886526726435,0.2014658213015898,1.5389647202375218,1.2814211526532386,1.3256599716600619,1.8201223962536681,2.0772162423315854,2.243459245423218,2.917093921384317,3.0449104661566504,2.976532791199948,1.964558700751051,1.5503476192597598,1.3112662032547946,1.1515774231902984,1.0703105505243784,0.844501960430137,0.8047472516714361,1.000294804947504,0.911902134793712,0.7653972186506734,0.45935008903083374,0.41338063388709884,0.48990994925375286,-188.81051145498134,20050.0
0.26074874657911234,0.1439762287861039,1.2186904146686888,1.0773701111033098,0.20163210096838152,1.4646720130134177,1.3842081964604553,1.4431801637250807,1.7554033346165594,1.9627281363828069,1.9700196520781517,2.660492138120846,3.0355210055797146,3.0061065557936204,2.1047884601893387,1.578221476228197,1.1961666266123683,1.2114896042323924,1.0496165886320796,0.8166199267939489,0.7487585974339589,0.8064098902682801,0.8293574608088183,0.7856078308385422,0.464224360461214,0.4338185285069762,0.46291927980414427,-209.6509804847713,20060.0
0.28119240731902095,0.15245169784533974,1.1969605405486816,1.0849465339336004,0.199129845319712,1.4811741549634383,1.330393618983053,1.4638851817673049,1.786471160403218,1.972704293921162,2.0302259680849084,2.6342792411795948,3.067480986698807,2.9523558044676776,2.0169154576324404,1.5507885035890965,1.2443691830172345,1.398363109327667,1.2218282178653521,0.9918118767967287,0.9356340865956376,1.0119640949738415,1.0379592971050458,1.0298199632353193,0.6713396805205702,0.6137915670381723,0.602918768221462,-194.27971290899194,20070.0
0.29819057917660374,0.14673305412326149,1.1689507767211398,1.1131891121263378,0.19552315581170035,1.7901049394773858,1.47366771898834,1.484805775136436,1.7525495642928048,1.8295885960927447,1.825889878464349,2.5689751252853834,2.88133001122413,2.8303784361987385,2.0445740237066055,1.4961709107419725,1.338585462708614,1.70967272454681,1.3598173991693223,1.2440262753779612,1.0533681803952932,1.0877506703999027,1.121911617833814,1.0229063614731375,0.7961922685444919,0.7632370458169159,0.7757890660153313,-197.7875979891559,20080.0
0.31093633029345835,0.14425301808878188,1.1681998240505302,1.1413298586459417,0.1957986461057109,1.7714470868684173,1.4456911612475953,1.4375278441289379,1.7734775613721603,1.8471777119773463,1.7936023471172067,2.6231174669967583,2.8216272484492793,2.819117129528491,2.0242091192486695,1.5272189835238734,1.3541899198852918,1.7760825216978264,1.353571248162723,1.1445197230552813,0.9381632755109343,1.0198427365700244,1.0087788372492579,0.9308484471949595,0.7273176412863985,0.7127992222317081,0.7419572300492662,-201.0342014530613,20090.0
0.328161730788842,0.14646661720857188,1.1665660528606379,1.1549957843377707,0.18838982279896294,1.6434801177659641,1.3816263127966921,1.386155982620152,1.7285720761467804,1.9987947496414231,2.0567998909500678,2.8137563497440166,2.722324548505081,2.6808460455720855,1.7952480495064453,1.5011866292411236,1.3741469099112886,1.6481616426845973,1.2005875373989792,1.1754811104901206,1.0033579897258789,1.0972847050016377,0.9674296672565709,0.8019197268907317,0.6409338552280749,0.7026877024001493,0.711193072252291,-196.59071537628927,20100.0
