gamma,nu,e0,i0,rw_sigma,rt_t_values[0],rt_t_values[1],rt_t_values[2],rt_t_values[3],rt_t_values[4],log_likelihood,actual_iteration
0.24405410137314082,0.1464852660219544,1.0833518361235022,1.246806845854842,0.1911593815402198,1.7553988737680404,2.165042141954687,2.05433684411749,0.5577649471656286,0.958030606069919,-186.19125081282863,50010.0
0.26770102576056337,0.13919243735751052,1.072262724298161,1.2563561843921116,0.19372132144635532,1.760058456714327,2.321928675975837,2.2372272658046746,0.5644113893523361,0.8981449987085871,-186.81595005013833,50020.0
0.2819166226125158,0.14236494826693208,1.0800119930326024,1.2562591071446414,0.19413009162694006,1.6791937459283652,2.2966677389098464,1.9484253457461487,0.5524346886708493,0.9725774696060063,-197.58806232500513,50030.0
0.3187518012028482,0.1591847392364205,1.1041998253468044,1.2529407147197296,0.18833064045389047,1.6665219682891754,2.1848844201254756,1.7938273488057617,0.8048078971844242,0.825642757598123,-186.0497905787515,50040.0
0.32580211199093706,0.16227778891284703,1.097089474780265,1.2494109516220524,0.18951036503248272,1.7747021345261589,1.811369168784043,1.7343107497567156,0.7736168346907034,0.752281468976532,-191.7115979497301,50050.0
0.3195810028231867,0.16730093163872442,1.0967037934737578,1.251086499426519,0.18594561775425333,1.7262932014979728,1.9105911141513918,1.7936267536414408,0.9590348193983642,0.8961712704296256,-195.75701169777346,50060.0
0.3183532926506566,0.1547943145163312,1.090209294067321,1.247836502488842,0.17956417445924175,1.5376009687889844,2.0826496005162314,1.739752113378076,0.8743347035822777,0.7520049549241878,-193.01915150605132,50070.0
0.2866413826335136,0.15812287798946573,1.0892748256526286,1.2338066358181767,0.1748614267436052,1.8399275550694745,1.9248789184348967,2.016958737218688,0.7239358235613341,0.6931913668420889,-192.22666561220962,50080.0
0.3106209192500797,0.14682781620796492,1.0877990143718725,1.2221482292641987,0.17696081565090038,1.7071050675368467,2.0261968270251907,1.9168265655157994,0.7689003952493321,0.5710280919303229,-192.25989453588178,50090.0
0.3149944323426807,0.14610574310584912,1.0955210141323344,1.1965584007565868,0.177569875958752,1.693935604313837,2.2237710556332093,1.8244320523372615,0.610523980771241,0.523395510451658,-189.91234073787297,50100.0
0.3009890452392803,0.15102009381746692,1.0871613935330158,1.1913577404610618,0.18072378749494167,1.8038680174074284,2.2721060912006226,1.66596032148168,0.7455423249373001,0.556182927990559,-195.28524229610895,50110.0
0.30298546773505497,0.14072563110107167,1.1168401757227413,1.204050423067993,0.1754852546737816,1.6676928246928384,2.0256809414601693,2.1056844109090767,0.8181515972889519,0.53628710347196,-192.2589709916417,50120.0
0.25458789037146207,0.1357575872529117,1.109433071423454,1.1708240604211064,0.1836795285202362,1.698358011833584,2.413620156280426,2.0492460381230977,0.889901757921088,0.44665703970077136,-192.9499746847082,50130.0
0.26321524781616196,0.13927959182099192,1.1032838150893765,1.1763032520878733,0.18577829140859095,1.6499591002742666,2.3503417120593113,1.8760184070574666,1.0129448461487527,0.46746813606275656,-193.60333011288222,50140.0
0.256224589521426,0.1387447806166879,1.0825487310160653,1.1766244637142151,0.18726045180472894,1.6110708059915024,2.464086038600388,2.002289412381018,0.7339204759282845,0.42600164783893735,-193.45069192274934,50150.0
0.26043552559104477,0.14210281838810876,1.062646023141482,1.177841788016749,0.18861154893052945,1.7264954189891393,2.0347432924093396,2.140386094876188,0.6870173362439145,0.47794790833325207,-189.94238555104192,50160.0
0.28799143412718453,0.14048676703302218,1.073932447695091,1.1711110290607478,0.19098545592495417,1.9944472560785513,2.0648855335425345,1.9177705267738017,0.625059493682017,0.4592488661556901,-186.6945545163537,50170.0
0.28792080406201,0.13623127837625704,1.0674712540105729,1.1457113804511192,0.19053360454398804,1.666474070401712,2.32062313121785,1.905857036298429,0.7921290708139083,0.5475968992652254,-190.80483091650848,50180.0
0.29010424911010246,0.13554623524448975,1.0671746035886571,1.1456609240841327,0.191723013166332,1.7888562491532256,2.250450448697209,1.8935589064892124,0.726242056749746,0.5391670023737904,-185.88983335228355,50190.0
0.30579555406670045,0.12756945269237865,1.070573213417012,1.1464977535640646,0.1863833069329082,1.7793593467060966,2.1834756480901327,2.3118362996873056,0.6616998298154874,0.5193555615941946,-190.15674883620946,50200.0
0.3187177537196722,0.12134149932016772,1.0696906942279978,1.1438083252158344,0.17480728340577167,1.7384526665866538,2.320179921832571,2.079667334726735,0.7298243947649,0.5903956042383964,-179.82083663893462,50210.0
0.3219877474117818,0.13631312851609148,1.0539032353950883,1.1573900345957242,0.1782441083585456,1.510721611131913,2.4422409664608677,1.6796688657955783,0.6662981941220278,0.7629887341789543,-192.75374837867633,50220.0
0.3097039107482323,0.13317460987866503,1.0583207540657011,1.1382048639199671,0.1773092009999603,1.7987665400443085,2.4061846199374877,1.4744262724504253,0.7578227132075075,0.9703121490676394,-192.0351771067585,50230.0
0.31924888664574613,0.13497718927517363,1.0585557881254766,1.1422744330859316,0.16973476442597218,1.701628322745406,2.294273622045812,1.6033503563042177,1.0524753130488351,1.520893493056397,-186.09361054826581,50240.0
0.3091316745913778,0.127709851790313,1.0670277841862494,1.1398190580145828,0.1663447532311917,1.6912955586093732,2.334059828197474,1.6189970761962127,1.1341914298647484,1.0665125526441863,-190.63370603704774,50250.0
0.3110442310601476,0.13913689692776263,1.0599423033802506,1.140073972512811,0.1700502601011954,1.52076038704399,2.512374675349786,1.4433864012421924,1.0004441761904905,1.3572790662890857,-186.71392631467634,50260.0
0.32445861398633274,0.1430703496629778,1.1085644045832517,1.1584382749250388,0.1806317654997088,1.6210492373595697,2.162702429871501,1.5594834008648357,0.99148392288674,2.1648339378803843,-199.59037072421614,50270.0
0.32493936111174804,0.14587313289729084,1.10925062476984,1.1596110973774347,0.17917015283562873,1.7030202607218563,2.1900496362664352,1.5781990398847596,0.950662697485484,2.030649327619788,-189.6186940132853,50280.0
0.31969561887694237,0.14528580078285405,1.1086151550137366,1.1549400368964557,0.17842122692067425,1.6828826411330973,2.3128085786673114,1.5035962723925826,0.941798562658397,1.9162472275425597,-205.04170831262837,50290.0
0.29472680071100416,0.1385172918115979,1.1230270263213098,1.1530494401419265,0.17880930174644474,1.679332989567641,2.344903180229956,1.4755823223710773,0.8098427349875146,2.0816818278229405,-186.34429004466375,50300.0
0.30493143575044807,0.13425699816250614,1.133268188902324,1.160527580658354,0.17794262374739686,1.6553438943654741,2.4805084432451445,1.5242311105195847,0.9579426310817382,1.7197573097228542,-193.84974178863973,50310.0
0.3169928523838685,0.1291514352821187,1.1255613317855917,1.1747019018228244,0.17564779091171565,1.8668139523437868,2.111783324973209,1.6611858005635305,0.7446745116652198,2.1047366019314055,-182.68807451942726,50320.0
0.35694806718480937,0.12946425851277868,1.1029414377304947,1.173214367186463,0.1771431072876435,1.717721777921594,2.1756428256180707,1.8890774827507222,0.7495778668269963,2.252526167794911,-190.21995090784793,50330.0
0.3566270477584484,0.13006736464455296,1.0975303772287281,1.1720898633751629,0.1724567220038922,1.5641556667869658,2.56043202744361,1.7402490679913858,0.7349124658374317,1.418673766767439,-191.4595034002142,50340.0
0.3620502772422555,0.1345759430197572,1.0879044122649744,1.1844156808982769,0.1741489016177027,1.5223682659390128,2.5351599616421985,1.4636293069820132,0.8313908683958329,1.1714237241384524,-180.25631493372148,50350.0
0.3578518129633012,0.15380363979920766,1.0561718893611645,1.1820014272988881,0.19093727840283212,1.698603214487487,2.0375741115526314,1.5238429252358976,0.8117955361010034,0.7631709354617974,-191.42711926833888,50360.0
0.36561186143703994,0.15543768417879808,1.0518725852435422,1.1835226645314982,0.1927214667619168,1.749855144393877,2.13644381994948,1.562155465138027,0.8713606012726982,0.7697205056607641,-185.1017089771931,50370.0
0.35171875642697054,0.1625597098094886,1.068737253487499,1.1883087386734557,0.19406616430109136,1.506170826544272,2.078598189469148,1.769134176451009,0.8765969656091273,0.7013387010454712,-192.60543964743718,50380.0
0.3780755743734671,0.15891940000681284,1.0566949022647794,1.1935878908705235,0.19393322149586206,1.5336806154462985,2.022384703384639,1.7793759104261002,0.8528990815033791,0.722346238692523,-188.55850899040624,50390.0
0.38628649286634376,0.15458027971547844,1.0443758480482062,1.1782346750429136,0.19498932969797414,1.7287122419448018,2.005592993698472,1.561931624481479,0.8553785070321689,0.8914738700098626,-192.72585022596354,50400.0
0.3811852444974848,0.12265693789837721,1.0558549959647094,1.1691993430884595,0.19169837959609595,1.6972904881825552,2.363719768972835,1.7888707099957624,0.6579419488593219,1.005578119903094,-188.32071762228577,50410.0
0.3691634850041895,0.12068006962540205,1.0441290350223364,1.1853331377534582,0.19948917302172778,1.6034837355183338,2.49434820157723,1.650102832956394,0.8712204973620982,0.9540650903504679,-189.49481914335462,50420.0
0.3667367806156135,0.11989463595931346,1.0457593038217572,1.177642774013957,0.1963921699310944,1.6285376953607147,2.621122478093941,1.6067216765038272,0.8581925420378067,0.9480819520208578,-183.42657811987053,50430.0
0.31491278747983015,0.12304972537250015,1.0736920003079469,1.1757284279670441,0.20085034752069433,1.7192723403465395,2.726580582701198,1.3843165100545474,0.7487299779180447,0.7784333359064061,-194.3842011920192,50440.0
0.3134916593988217,0.147406796308367,1.0891962295533792,1.146781528544354,0.2074803074198274,1.6315269870075777,2.5938251263565557,1.4428401859707514,0.7301423309299467,0.7225019328190395,-193.39089786844647,50450.0
