variable,ess_basic,ess_bulk,ess_tail,address,sim_num_val
gamma,128.33870751607688,130.26035971799678,464.8049619617327,ei_cdf_sim6_simnum1.csv,1
nu,158.33514697715495,163.71814116751852,397.99089385443057,ei_cdf_sim6_simnum1.csv,1
e0,263.5010541942338,263.66868472730084,536.8100553085081,ei_cdf_sim6_simnum1.csv,1
i0,275.0059589114732,273.8233661280391,479.50164351802204,ei_cdf_sim6_simnum1.csv,1
rw_sigma,255.38134292158844,257.12868248428066,740.5806332772139,ei_cdf_sim6_simnum1.csv,1
rt_t_values[0],423.4760077773876,406.76320326392863,672.6609867294103,ei_cdf_sim6_simnum1.csv,1
rt_t_values[1],347.6968095436795,341.05874100647094,618.2993340696304,ei_cdf_sim6_simnum1.csv,1
rt_t_values[2],364.45726962493256,355.712462303202,679.3358851361052,ei_cdf_sim6_simnum1.csv,1
rt_t_values[3],265.10662111986727,259.2812235904418,665.2261747441785,ei_cdf_sim6_simnum1.csv,1
rt_t_values[4],337.5952444340378,326.1091319074181,473.46150091590664,ei_cdf_sim6_simnum1.csv,1
rt_t_values[5],334.13063517644537,320.9334660935104,743.1946738884325,ei_cdf_sim6_simnum1.csv,1
rt_t_values[6],346.94315193571805,335.89350665797633,601.3304985459735,ei_cdf_sim6_simnum1.csv,1
rt_t_values[7],378.44208927620036,362.3329533178673,587.0746979057986,ei_cdf_sim6_simnum1.csv,1
rt_t_values[8],383.1639915060653,367.1189322954565,842.6732990220371,ei_cdf_sim6_simnum1.csv,1
rt_t_values[9],343.1224168970088,339.92518522564893,834.1454862377242,ei_cdf_sim6_simnum1.csv,1
rt_t_values[10],360.90531051877446,349.9135413005197,532.0884472468625,ei_cdf_sim6_simnum1.csv,1
rt_t_values[11],284.0084521329044,290.0914400777385,497.20148483475805,ei_cdf_sim6_simnum1.csv,1
rt_t_values[12],435.6610798660424,418.74056938344165,808.1557997794556,ei_cdf_sim6_simnum1.csv,1
rt_t_values[13],424.43148186432757,425.88671207942735,981.1106698747557,ei_cdf_sim6_simnum1.csv,1
rt_t_values[14],470.87476215771557,494.58834864173315,772.3690741221365,ei_cdf_sim6_simnum1.csv,1
rt_t_values[15],561.5487651152297,541.2583955597044,907.1860046340472,ei_cdf_sim6_simnum1.csv,1
rt_t_values[16],447.5463813995184,421.3549499864682,830.7401196847712,ei_cdf_sim6_simnum1.csv,1
rt_t_values[17],425.4002892791472,405.73573128330526,762.4436101354992,ei_cdf_sim6_simnum1.csv,1
rt_t_values[18],341.2999046262704,323.18504686877424,670.8628527638407,ei_cdf_sim6_simnum1.csv,1
rt_t_values[19],336.29836691033665,331.73390917022795,632.2018607818787,ei_cdf_sim6_simnum1.csv,1
gamma,186.70602717381271,190.55002742243542,663.510929178875,ei_cdf_sim6_simnum10.csv,10
nu,112.29870180012198,108.9044319334479,382.87476102123134,ei_cdf_sim6_simnum10.csv,10
e0,297.1033955909849,293.9731320316502,543.3825790841578,ei_cdf_sim6_simnum10.csv,10
