variable,ess_basic,ess_bulk,ess_tail,address,sim_num_val
gamma,125.84663901467522,125.09756077288249,337.9043187825224,ei_cdf_sim7_simnum1.csv,1
nu,116.2792086485348,114.39806136399591,280.2951010795818,ei_cdf_sim7_simnum1.csv,1
e0,122.50804007873494,124.31292509017491,278.4808459188383,ei_cdf_sim7_simnum1.csv,1
i0,197.61867216791666,199.26673640083888,342.35715467474,ei_cdf_sim7_simnum1.csv,1
rw_sigma,208.87134708056436,210.22674342203345,361.4162487908981,ei_cdf_sim7_simnum1.csv,1
rt_t_values[0],213.6838492388289,213.66409541508466,509.9908965326968,ei_cdf_sim7_simnum1.csv,1
rt_t_values[1],176.0064281202083,174.33721723281977,385.779138044397,ei_cdf_sim7_simnum1.csv,1
rt_t_values[2],239.5141329570307,236.15830564931994,385.01811094718016,ei_cdf_sim7_simnum1.csv,1
rt_t_values[3],182.99771224495043,186.27138639299176,520.0678324306755,ei_cdf_sim7_simnum1.csv,1
rt_t_values[4],228.36636287088947,234.04245487945167,458.9043358387013,ei_cdf_sim7_simnum1.csv,1
rt_t_values[5],238.3372301029874,231.29146047259357,309.89797740473307,ei_cdf_sim7_simnum1.csv,1
rt_t_values[6],259.89036914440715,250.48799954941865,536.1799800649861,ei_cdf_sim7_simnum1.csv,1
rt_t_values[7],208.38350902500903,168.7180930365106,454.9338108265973,ei_cdf_sim7_simnum1.csv,1
rt_t_values[8],286.3912696371332,280.5514296691296,505.29467093899257,ei_cdf_sim7_simnum1.csv,1
rt_t_values[9],210.99196664972598,209.57624040269476,630.455239495344,ei_cdf_sim7_simnum1.csv,1
rt_t_values[10],195.3456931320901,193.20518610179158,579.6000077109106,ei_cdf_sim7_simnum1.csv,1
rt_t_values[11],255.68704011265424,250.74934562585,652.469092674865,ei_cdf_sim7_simnum1.csv,1
rt_t_values[12],321.49134427617395,303.83982906831613,713.8603875117033,ei_cdf_sim7_simnum1.csv,1
rt_t_values[13],434.0171858841586,412.5664608980963,862.4094119234884,ei_cdf_sim7_simnum1.csv,1
rt_t_values[14],406.7746343667865,371.0661483315213,860.706563408588,ei_cdf_sim7_simnum1.csv,1
rt_t_values[15],319.99468479019373,311.5340286216371,571.3742213294288,ei_cdf_sim7_simnum1.csv,1
rt_t_values[16],321.455555960586,307.9829931827729,793.5055993661138,ei_cdf_sim7_simnum1.csv,1
rt_t_values[17],259.13350351219077,243.82309192307366,494.30612762866133,ei_cdf_sim7_simnum1.csv,1
rt_t_values[18],183.05787090650182,174.3862958080289,403.08671475289134,ei_cdf_sim7_simnum1.csv,1
rt_t_values[19],201.59514465735816,194.76165113497174,462.246956165668,ei_cdf_sim7_simnum1.csv,1
gamma,117.91169226879994,118.41067519971911,367.2822916748358,ei_cdf_sim7_simnum10.csv,10
nu,190.38729885120136,196.58075369459254,353.8026463819219,ei_cdf_sim7_simnum10.csv,10
e0,237.21836629381175,235.18714411803913,526.9818948239855,ei_cdf_sim7_simnum10.csv,10
i0,235.51699094854794,236.881865451217,541.3148515424824,ei_cdf_sim7_simnum10.csv,10
rw_sigma,188.38693387922635,189.8088066649637,307.9291524711541,ei_cdf_sim7_simnum10.csv,10
rt_t_values[0],298.4845209933841,287.5501659597001,842.3203853917792,ei_cdf_sim7_simnum10.csv,10
rt_t_values[1],288.5835491515599,279.6255767121006,411.36592982643737,ei_cdf_sim7_simnum10.csv,10
rt_t_values[2],287.01785102124154,283.4611673697179,722.9316624228915,ei_cdf_sim7_simnum10.csv,10
rt_t_values[3],259.89133042788364,251.9479409029229,426.4044516062554,ei_cdf_sim7_simnum10.csv,10
rt_t_values[4],202.47902255425907,203.00867127357103,614.3603879345674,ei_cdf_sim7_simnum10.csv,10
rt_t_values[5],262.84004579645904,249.32282491572704,678.4162542470389,ei_cdf_sim7_simnum10.csv,10
rt_t_values[6],317.5326014673506,319.2457555150221,613.1757110273592,ei_cdf_sim7_simnum10.csv,10
rt_t_values[7],295.45524640690115,299.30673205936165,527.460144135342,ei_cdf_sim7_simnum10.csv,10
rt_t_values[8],251.6953489527786,244.817548298372,736.8708790631977,ei_cdf_sim7_simnum10.csv,10
rt_t_values[9],264.21496582400374,267.6471735665661,532.2951333562207,ei_cdf_sim7_simnum10.csv,10
rt_t_values[10],341.1918887595631,331.991270524097,845.8476289078186,ei_cdf_sim7_simnum10.csv,10
rt_t_values[11],392.65330969782883,368.62778698871125,823.6609127098276,ei_cdf_sim7_simnum10.csv,10
rt_t_values[12],272.6624818568378,261.2968880121668,851.2080986917008,ei_cdf_sim7_simnum10.csv,10
rt_t_values[13],296.26602413171315,274.49185765952313,518.9003947487026,ei_cdf_sim7_simnum10.csv,10
rt_t_values[14],352.19920749524044,335.91917564204124,617.5861988440431,ei_cdf_sim7_simnum10.csv,10
rt_t_values[15],287.39260039697484,277.0784871917923,648.0406073362357,ei_cdf_sim7_simnum10.csv,10
rt_t_values[16],322.1411420785929,314.3697755947652,703.3726040506515,ei_cdf_sim7_simnum10.csv,10
rt_t_values[17],270.1998099486256,276.41247948768176,605.2166176478479,ei_cdf_sim7_simnum10.csv,10
rt_t_values[18],272.52444867417194,244.69091074669018,414.96656866326566,ei_cdf_sim7_simnum10.csv,10
rt_t_values[19],279.3694916163272,244.147646133306,596.3898882799066,ei_cdf_sim7_simnum10.csv,10
gamma,109.71544854048177,111.92427798714385,372.56989585881314,ei_cdf_sim7_simnum11.csv,11
nu,125.89909531109245,128.23362151691504,266.4058420932411,ei_cdf_sim7_simnum11.csv,11
e0,153.73350494743772,153.30721860010163,378.913679048472,ei_cdf_sim7_simnum11.csv,11
i0,183.0512672352062,184.64527925896178,398.3384170617348,ei_cdf_sim7_simnum11.csv,11
rw_sigma,218.86121857170633,215.24039448179636,492.954726402702,ei_cdf_sim7_simnum11.csv,11
rt_t_values[0],235.82713478572023,253.31383745655054,562.7516359589138,ei_cdf_sim7_simnum11.csv,11
rt_t_values[1],197.72036659585493,192.72674127463011,386.8097172716844,ei_cdf_sim7_simnum11.csv,11
rt_t_values[2],259.85076165828127,259.01122324493,725.2077917655404,ei_cdf_sim7_simnum11.csv,11
rt_t_values[3],204.90579089321355,202.0217687073529,452.0824669141481,ei_cdf_sim7_simnum11.csv,11
rt_t_values[4],247.50660162796524,255.88191244113614,613.2779826738987,ei_cdf_sim7_simnum11.csv,11
rt_t_values[5],274.32256564659076,276.9607530559321,673.9742371660398,ei_cdf_sim7_simnum11.csv,11
rt_t_values[6],371.5897047396625,365.6960302062214,599.0000073825771,ei_cdf_sim7_simnum11.csv,11
rt_t_values[7],295.37978349703656,291.407848110576,886.1242652196396,ei_cdf_sim7_simnum11.csv,11
rt_t_values[8],332.70623424543504,320.49877542234555,595.3099348316819,ei_cdf_sim7_simnum11.csv,11
rt_t_values[9],366.5806749423069,361.8495637578944,825.5699535787833,ei_cdf_sim7_simnum11.csv,11
rt_t_values[10],367.5134964322386,346.8358202677724,790.4226927115626,ei_cdf_sim7_simnum11.csv,11
